id,story,answers,
H5HLG27Bsu,ในงานคอนเสิร์ตกลางแจ้ง กิมช้อนลอบบุกรุกเข้าพื้นที่ VIP เพื่อขโมยของ และยิงเจ้าหน้าที่รักษาความปลอดภัย,"[  {    ""กิมช้อน"": [      2,      5,      7    ]  },  {    ""เจ้าหน้าที่รักษาความปลอดภัย"": [      7    ]  }]",
yuWl9jc08V,กรภคพรจงใจขับรถชนคู่แข่งในการแข่งขันยานยนต์จนคู่แข่งเสียชีวิต เหตุเพราะโมโหคู่แข่งรุนแรงจนคุมสติไม่อยู่,"[{'กรภคพร': [5,7]}, {'คู่แข่ง': [1]}]",
4UnBHrK4Nu,จำจรยิงฆ่าคู่แข่งในการแข่งขันธุรกิจที่จัดที่โรงแรมหรู,"[{'จำจร': [5,7]}, {'คู่แข่ง': [1]}]",
gwskhsrFCo,จาณิกรยิงแก้วสังวาลย์ที่กลางอกด้วยปืนล่าสัตว์ระหว่างพาไปเดินป่า โดยอ้างว่าเป็นอุบัติเหตุ แต่เธอเสียชีวิตทันที,"[{""จาณิกร"": [5,7]}, {""แก้วสังวาลย์"": [7]}]",
4ks86qMWg7,กิมหยุนใช้มีดขู่พนักงานร้านสะดวกซื้อให้ส่งเงินให้ และขโมยสินค้าจากร้าน ขณะที่ค้นภพลักทรัพย์จากลูกค้า,"[  {    ""กิมหยุน"": [2, 5]  },  {    ""พนักงานร้านสะดวกซื้อ"": [1]  },  {    ""ลูกค้า"": [1]  }]",
oQrjgnJ1GW,จามีกรใช้ปืนข่มขู่และยิงบุคคลในที่สาธารณะจนทำให้มีคนเสียชีวิต,"[{'จามีกร': [5,7]}]",
kbM5c95IIZ,จันทกานต์ใช้มีดโจมตีคู่แข่งในตลาดทำให้ฝ่ายตรงข้ามบาดเจ็บสาหัส,[{'จันทกานต์': [5]}],
maF10bxns8,จิตต์ญาณีขโมยเครื่องประดับจากห้างหรูแล้วหลบหนีออกจากร้าน,[{'จิตต์ญาณี': [2]}],
8KBUCHi1Ds,ในงานสัมมนาธุรกิจที่มีผู้เข้าร่วมมากมาย จตุพันธุ์ได้ดำเนินการปลอมแปลงเอกสารบัญชีเพื่อหลอกลวงประชาชนให้โอนเงินเข้าบัญชีส่วนตัวโดยเจตนา,"[{'จตุพันธุ์': [6,5]}]",
6hTT62hC4B,กัลยประภาให้ยาพิษในไวน์แดงของจรินทร์วรรณที่ร้านอาหารหรู จนเธอเสียชีวิตก่อนถึงโรงพยาบาล,"[  {    ""กัลยประภา"": [      5,      7    ]  },  {    ""จรินทร์วรรณ"": [      7    ]  }]",
Fqf3irUQh9,ในงานเลี้ยงหรูที่โรงแรม กัฐิญาลอบบุกรุกเข้าห้องพักส่วนตัวและยิงฆ่าเจ้าของห้องที่บริสุทธิ์ท่ามกลางความมืด,"[  {    ""กัฐิ"": [      4,      5,      7    ]  },  {    ""เจ้าของห้อง"": [      7    ]  }]",
wZfVYoUeuk,กุณทรีขโมยของจากรถโดยสารและใช้มีดโจมตีผู้คนในรถ ขณะที่คัทยาฉ้อโกงเงินจากนักลงทุน,"[  {    ""กุณทรี"": [      2,      5,      7    ]  },  {    ""คัทยา"": [      6    ]  }]",
GvrDOVGRXe,ในงานแสดงสินค้า จินตลักษณ์ปลอมเครื่องหมายการค้าเพื่อฉ้อโกงผู้บริโภค ขณะที่จิตรฤดีบุกรุกเข้าห้องเก็บสินค้า,"[  {    ""จินตลักษณ์"": [      6    ]  },  {    ""จิตรฤดี"": [      4,      2    ]  }]",
TSu57cBg7T,จารุกิตติ์ใช้ความรุนแรงกับผู้โดยสารในรถแท็กซี่ ก่อนขโมยทรัพย์สินและขับรถหนีไป ส่วนกรอบเกียรติช่วยหลบหนี,"[  {    ""จารุกิตติ์"": [      5,      7,      2    ]  },  {    ""กรอบเกียรติ"": [      1    ]  }]",
YHum1JQ14O,ในงานประชุมระดับสูง เกรียงยุทธขโมยแฟ้มลับจากสำนักงานโดยบุกรุกผ่านหน้าต่าง ขณะที่เกษมธิดาใช้วิธีฉ้อโกงให้มีการโอนเงินในระบบธนาคารปลอม,"[  {    ""เกรียงยุทธ"": [      2,      4    ]  },  {    ""เกษมธิดา"": [      6    ]  }]",
c8OOapiLy3,จักอู๋ขับรถชนกลางตลาดในขณะเมาได้ที่ ทำให้เกิดอุบัติเหตุร้ายแรงและมีผู้เสียชีวิต,"[  {    ""จักอู๋"": [3, 7]  }]",
8oRmqEjF0l,คัลทิยาจัดโครงการลงทุนปลอมหลวงหลอกลวงประชาชนในงานเทศกาล ทำให้ผู้ลงทุนสูญเสียเงินจำนวนมาก,[{'คัลทิยา': [6]}],
UFsimO4f8H,ในงานประกวด ณ โรงภาพยนตร์ กฤตญาณพคษุ์ใช้ปืนข่มขู่และยิงฆ่าผู้ชม,"[{""กฤตญาณพคษุ์"": [5, 7]}]",
2UVnaBeFJN,กรรณกฤตย์ใช้มีดโจมตีผู้คนในงานเลี้ยงโรงแรมและยิงฆ่าผู้คน ขณะที่เข็มชัยขโมยของจากร้านค้าในตลาดนัด,"[  {    ""กรรณกฤตย์"": [      5,      7    ]  },  {    ""เข็มชัย"": [      2    ]  }]",
nTlcASqNyO,กิจศดาใช้มีดข่มขู่และยิงฆ่าผู้คนในงานเลี้ยงโรงแรม ขณะที่กรรญยวีย์บุกรุกเข้าห้องของขบวนแล้วขโมยของออกไป,"[  {    ""กิจศดา"": [      5,      7    ]  },  {    ""กรรญยวีย์"": [      2,      4    ]  }]",
LpOwEHQ9l4,คมพชร์อ่านข่าวว่าวันนี้มีพายุรุนแรง,[{'คมพชร์': [1]}],
t1o4sQFFYO,กฤติวัฒน์ขโมยของมีค่าในห้างโดยบุกรุกเข้ามาทางด้านหลังในเวลากลางคืน,"[{'กฤติวัฒน์': [2, 4]}]",
zMwIEsgoh9,เขมรัสวางเพลิงเผารถยนต์ในลานจอด ขณะที่คัทคณางค์ชิงทรัพย์กล้องวงจรปิดภายในพื้นที่เกิดเหตุ,"[  {    ""เขมรัส"": [      5    ]  },  {    ""คัทคณางค์"": [      2    ]  }]",
45WWsACupQ,เขมจิตลอบบุกรุกเข้าร้านเครื่องประดับและขโมยสร้อยคอออกไป พร้อมกับกิดจี้ใช้มีดข่มขู่ผู้คนในงานเลี้ยง,"[  {    ""เขมจิต"": [2, 4, 5]  }]",
BhlD9uQhwS,กิษณภัฎขโมยกระเป๋าจากหญิงชราบนถนน,[{'กิษณภัฎ': [2]}],
zTiX4E1Z3F,จันทร์เล็กใช้รถจักรยานยนต์ขี่บนเลนสวนทางเพื่อเลี่ยงรถติด ชนเข้ากับรถของจันทร์ลอนที่ขับมาตามปกติ,"[  {    ""จันทร์เล็ก"": [      3,      7    ]  },  {    ""จันทร์ลอน"": [      1    ]  }]",
MARpbsrGn4,กาญณัทษรวางถังแก๊สเปิดไว้ในห้องของกรรณธิมาแล้วจุดไฟแช็กเมื่อเขาหลับอยู่ ทำให้เกิดระเบิดและเขาเสียชีวิต,"[  {    ""กาญณัทษร"": [      5,      7    ]  },  {    ""กรรณธิมา"": [      1    ]  }]",
2YAdJXuqRu,จ๋ายขับรถเมาชนกับจิรวุสฐ์จนทำให้จิรวุสฐ์เสียชีวิต,"[{""จ๋าย"": [3,7]}, {""จิรวุสฐ์"": [1]}]",
AzZCBzq6dr,กรธณีฉ้อโกงผู้บริโภคผ่านโฆษณาปลอมบนโซเชียล ทำให้ผู้ซื้อสูญเสียเงินจำนวนมาก,[{'ผู้กระทำผิด': [6]}],
FUovO0ctCA,คีตาภัชรขับรถบัสในเมืองและขับรถด้วยความประมาทจนเกิดอุบัติเหตุร้ายแรงที่ทำให้ผู้โดยสารบาดเจ็บและบางรายเสียชีวิตในเวลาเดียวกัน,"[{""คีตาภัชร"": [3,7]}]",
oK4kInXOh8,คัชพิณรุจาใช้ปืนข่มขู่ในงานเลี้ยงโรงแรม ขณะที่จุติมาพรบุกรุกเข้าร้านเพื่อขโมยของมีค่า,"[  {    ""คัชพิณรุจา"": [      5    ]  },  {    ""จุติมาพร"": [      2,      4    ]  }]",
9NNviMIb8U,กัญญ์กุฎาใช้ค้อนทุบศีรษะกิตตินนธ์ซ้ำๆ จนเสียชีวิต,"[{""กัญญ์กุฎา"": [5,7]}, {""กิตตินนธ์"": [1]}]",
bZyfXTv6wX,คำยงค์ใช้ปืนข่มขู่และยิงฆ่าผู้เข้าร่วมงานคอนเสิร์ต ขณะที่กิมโหยงบุกรุกเข้าร้านค้าและขโมยของมีค่าออกไป,"[  {    ""คำยงค์"": [      5,      7    ]  },  {    ""กิมโหยง"": [      2,      4    ]  }]",
XJePdHnxIm,จิธทพนธ์ปลอมโปรไฟล์ในเว็บไซต์หาคู่เพื่อหลอกขอยืมเงินจากเหยื่อหลายราย,[{'จิธทพนธ์': [6]}],
k1Iz3TosZk,กลิ่มขโมยทรัพย์จากร้านและยิงฆ่าลูกค้าในที่แออัด,"[{""กลิ่น"": [2, 5, 7]}]",
6xvAnJUp8a,จุฬาณีย์เป็นผู้ดูแลระบบเว็บไซต์ที่คัตทาสร้างขึ้นเพื่อขายสินค้าทำมือ ทั้งสองทำงานร่วมกันโดยเคารพลิขสิทธิ์และไม่จำหน่ายของผิดกฎหมาย,"[{'จุฬาณีย์': [1]}, {'คัตทาส': [1]}]",
c2bW8HgGzY,กิตจิยาบุกรุกเข้าศูนย์การค้าและขโมยเอกสารสำคัญ ในขณะที่คิดชอบฉ้อโกงเงินผ่านระบบออนไลน์,"[{""กิตจิยา"": [2, 6, 4]}]",
FckstboOXS,จำรัตร์ใช้มีดข่มขู่จุภากรในงานเลี้ยงและทำให้ฝ่ายตรงข้ามได้รับบาดเจ็บสาหัส ขณะที่คุรมิตปาลกอร์ขโมยของจากตลาดนัด,"[  {    ""จำรัตร์"": [      5    ]  },  {    ""จุภากร"": [      7    ]  },  {    ""คุรมิตปาลกอร์"": [      2    ]  }]",
pcrVh0YyPz,กรนภาแทงตำรวจที่กำลังจับกุมเขาด้วยมีดจนเสียชีวิต,"[{'กรนภา': [5,7]}]",
i0V4r3feeG,ขาฮวยขโมยของจากห้างสรรพสินค้าและฉ้อโกงเงินจากลูกค้าผ่านระบบออนไลน์ ขณะที่กนกต์ใช้มีดข่มขู่ผู้คนที่มองหน้าเธอ,"[  {    ""ขาฮวย"": [      2,      6    ]  },  {    ""กนกต์"": [      5    ]  }]",
UTWUAbaV1I,คณินรัสเดินเข้าร้านอาหารโดยทำเหมือนจะเข้าไปทานข้าวแต่แล้วก็ขโมยเงินสดจากตู้อัตโนมัติ ขณะที่กีย้งใช้มีดข่มขู่ผู้คนในงานเลี้ยง,"[  {    ""คณินรัส"": [      2    ]  },  {    ""กีย้ง"": [      5    ]  }]",
M6jgVLYzm1,กิ่งผกาญจน์แอบอ้างว่าเป็นเจ้าหน้าที่รัฐเพื่อเก็บค่าธรรมเนียมปลอมจากประชาชน,[{'กิ่งผกาญจน์': [6]}],
M2tYuBGVbt,จุลดิสถ์ละเลยการซ่อมบำรุงสายพานลำเลียงในโรงงาน ทำให้พนักงานถูกหนีบเสียชีวิต,"[{""จุลดิสถ์"": [3,7]}, {""พนักงาน"": [1]}]",
rDmgqPKEys,จอนเวนวางเพลิงอาคารเก่าทำให้ทรัพย์สินเสียหาย และลักทรัพย์ในห้องควบคุม,"[{""จอนเวน"": [2, 3, 5]}]",
Bfo9AJrEs6,กงเดือนและจิตติสุขร่วมกันเปิดคาเฟ่เล็กๆในชุมชน โดยมีใบอนุญาตครบถ้วนและปฏิบัติตามกฎหมายทุกข้อ,"[{""กงเดือน"": [1], ""จิตติสุข"": [1]}]",
SIGpybFUz8,คมสรรณ์ขโมยเงินจากตู้อัตโนมัติในตึก,[{'คมสรรณ์': [2]}],
xWITgCoKbz,จอัตถ์ขโมยของจากงานสังสรรค์และบุกรุกเข้าห้องพัก,"[{'จอัตถ์': [2,4]}]",
XoCxEKgPtv,กษิพัตละเลยการบำรุงรักษารถบรรทุก ทำให้เบรกแตกพุ่งชนรถของคชบสกรที่ขับอยู่ข้างหน้า,"[{""กษิพัต"": [3,7]}, {""คชบสกร"": [1]}]",
jZOfgJkn38,กัณจนาเสนอขายประกันสุขภาพพิเศษปลอม ส่วนขวัญสุธาแกล้งเป็นผู้เคลมเงินได้จริงหลังล้มป่วย,"[  {    ""กัณจนา"": [      6    ]  },  {    ""ขวัญสุธา"": [      6    ]  }]",
FLpfjzN1EH,จรรยภาขับรถเร็วบนถนนในเมืองโดยประมาทจนชนกับรถของผู้โดยสาร ส่งผลให้มีคนบาดเจ็บและเสียชีวิตลง,"[{'จรรยภา': [3,7]}]",
U1KWodXFqA,จตุมาสปีนเข้าไปในหอพักของจรัสเรืองแล้วใช้เหล็กฟาดใส่หัวเธอจากด้านหลังจนสลบ,"[{""จตุมาส"": [5,7]}, {""จรัสเรือง"": [1]}]",
tVv1jcuSKM,กระสันกำลังถอยรถในลานจอดห้างแต่ไม่ได้มองกระจกหลัง ชนใส่เจริญโชติที่เดินผ่าน,"[  {    ""กระสัน"": [      3,      7    ]  },  {    ""เจริญโชติ"": [      1    ]  }]",
