Column1,Column2,Column3
r0uNgMyBmK,คลังพลอยเป็นนักร้องประจำวงดนตรีที่กาญจนาพิสิฐช่วยเป็นมือคีย์บอร์ดในกิจกรรมดนตรีเปิดหมวกเพื่อช่วยผู้ป่วยมะเร็ง,"[{'คลังพลอย':'[1]'},{'กาญจนาพิสิฐ':'[1]'}]"
wx5O0eCk4c,จิระสัณห์วางวัตถุกีดขวางทางเดินในห้างโดยไม่มีป้ายเตือน ทำให้กิตต์สมิทธ์สะดุดล้มแขนหัก,"[{'จิระสัณห์':'[3]'},{'กิตต์สมิทธ์':'[1]'}]"
9GqLAsM04P,จันร์ทาเปิดแอคเคานต์ปลอมบนแพลตฟอร์มแลกเปลี่ยนเงินตราเพื่อหลอกเอาเงินโอน,[{'จันร์ทา':'[6]'}]
89HwzbhlZu,กณกาเป็นเลขาของกัลยาพร เธอได้สร้างเอกสารปลอมเพื่อให้กัลยาพรที่ไม่ได้รู้เรื่องอะไรด้วย ได้รับเงินจากการโกงประชาชนของเธอ,"[{'กณกา':'[6]'},{'กัลยาพร':'[1]'}]"
BYlwpenQxx,แขพิลาสฉ้อโกงเงินจากนักลงทุนผ่านระบบออนไลน์และบุกรุกเข้าห้องเก็บข้อมูลในสำนักงาน ขณะที่กัลย์พรขวัญขโมยสินค้าจากตลาดนัด,"[{'แขพิลาส':'[4,6]'},{'กัลย์พรขวัญ':'[2]'}]"
jXuhauSaTv,กริชชัยใช้มีดโจมตีคนเดินข้ามจนเสียชีวิต,"[{'กริชชัย':'[5,7]'}]"
nDKYu5oJey,จงยกลิ่นขโมยสมุดบันทึกจากห้องพักโดยบุกรุก,"[{'จงยกลิ่น':'[2,4]'}]"
sMnHngJrTM,กานดิษฐ์ลืมตั้งเบรกมือรถ ทำให้รถไหลไปชนรถอีกคันได้รับความเสียหาย,[{'กานดิษฐ์':'[3]'}]
84Z3QeK5PA,จิตรภาณีขับรถเมาแล้วชนกันในงานตลาด ทำให้เกิดความเสียหายและบาดเจ็บ,[{'จิตรภาณี':'[3]'}]
RWBu0ummdZ,กษิราขโมยของจากรถแท็กซี่ด้วยการใช้ปืนข่มขู่ผู้โดยสาร ขณะที่เคลียวพันธ์ฉ้อโกงเงินจากลูกค้าผ่านระบบออนไลน์,"[{'กษิรา':'[2,5]'},{'เคลียวพันธ์':'[6]'}]"
FFcrAhhCkM,ขมาพรปลอมตัวเป็นหมอเพื่อหลอกเก็บค่ารักษาผู้ป่วยที่ไม่มีอาการจริง,[{'ขมาพร':'[6]'}]
uLypKbsbPY,กัญฐาภรลอบบุกรุกเข้าหอพักและขโมยของมีค่าออกไปอย่างเร็วทันใจ ผ่านการบุกรุกอย่างชำนาญ,"[{'กัญฐาภร':'[2,4]'}]"
2Ka6Dsi19z,กัญจน์นภัสบุกรุกเข้าร้านเครื่องประดับและขโมยของมีค่า,"[{'กัญจน์นภัส':'[2,4]'}]"
c5I6HcvPbe,กุลมณีใช้เชือกมัดกนกพัชรแล้วจุดไฟเผาห้องนั่งเล่น ทำให้เขาถูกไฟคลอกเสียชีวิต,"[{'กนกพัชร':'[1]'},{'กุลมณี':'[5,7]'}]"
Eg1ZAUtruW,คำคงขับรถเมาแล้วชนรถยนต์ ทำให้ทรัพย์สินผู้อื่นเสียหาย,[{'คำคง':'[3]'}]
wzfJXuFNdz,งามไทรเป็นนักวิจัยที่เดินทางไปเก็บข้อมูลกับกมลเนตร์ในพื้นที่ป่าชายเลน โดยได้รับอนุญาตจากหน่วยงานรัฐล่วงหน้า,"[{'งามไทร':'[1]'},{'กมลเนตร์':'[1]'}]"
tSDF2P96h1,กัญญารัฐหลอกขายรถยนต์มือสองที่มีปัญหาโดยไม่แจ้งข้อเท็จจริงแก่ผู้ซื้อ,[{'กัญญารัฐ':'[6]'}]
x8Ngbod0ai,คำนวนยุทธฉ้อโกงบริษัทด้วยเอกสารปลอม,[{'คำนวนยุทธ':'[6]'}]
gu3SUBokfm,คลอจันทร์ขโมยเงินจากตู้เอทีเอ็มในห้างโดยบุกรุกช่วงห้างปิดทำการ,"[{'คลอจันทร์':'[2,4]'}]"
U5Zx05Ia7S,กนันดายิงปืนในที่สาธารณะจนเกิดการข่มขู่พร้อมฆ่าคน,"[{'กนันดา':'[5,7]'}]"
3dq4Ychd8t,จิรณภรขโมยเงินสดจากตู้อัตโนมัติในห้างและฉ้อโกงเงินผ่านระบบออนไลน์ ขณะที่จรัสสรฉ้อโกงโทรศัพท์,"[{'จิรณภร':'[2,6]'},{'จรัสสร':'[6]'}]"
eqvSNYZyrS,ฤกษ์นเรศขู่เข็ญพนักงานธนาคารและชิงทรัพย์จากตู้เอทีเอ็มด้วยการใช้ปืนและใช้ความรุนแรงในที่สาธารณะ,"[{'ฤกษ์นเรศ':'[2,5]'}]"
k7iLDhiu3j,กชสิณรับจ้างทำวิจัยแต่ไม่ส่งงานตามกำหนดและไม่คืนเงินให้ลูกค้า,[{'กชสิณ':'[6]'}]
WL4295AOCQ,จิรวัฏขโมยสมาร์ทโฟนจากตลาดกลางคืนผ่านหลังร้านที่ไม่อนุญาตให้คนนอกเข้า,"[{'จิรวัฏ':'[2,4]'}]"
hHHpKEQFru,กษิดิ์พญาปลอมแปลงหลักฐานการโอนเงินเพื่อหลอกว่าชำระค่าบริการแล้ว,[{'กษิดิ์พญา':'[6]'}]
XUEofqXsTf,กัณณิกฉ้อโกงเงินจากลูกค้าผ่านการส่งข้อความปลอมบนมือถือ,[{'กัณณิก':'[6]'}]
wJ13pQPV2n,จรณินทร์ยิงเจ้าหน้าที่ป่าไม้เสียชีวิตขณะหลบหนีจากการขโมยไม้ ส่วนกันต์นทีที่ร่วมมือกับจรณินทร์เป็นผู้ขับรถให้,"[{'จรณินทร์':'[2,5,7]'},{'กันต์นที':'[2]'}]"
SeeFdnaQnD,คารีน่าอ้างตัวเป็นนายหน้าขายรถยนต์มือสอง หลอกเงินค่ามัดจำแล้วหายตัวไป,[{'คารีน่า':'[6]'}]
0ymFgvn0LW,จันทปภาใช้มีดจู่โจมและฆ่ากสิณัฏฐพรในร้านอาหารหลังจากทะเลาะกันอย่างรุนแรงเกี่ยวกับปัญหาส่วนตัว,"[{'จันทปภา':'[5,7]'},{'กสิณัฏฐพร':'[1]'}]"
HG2uW8tTDP,กิตติพงศ์ฉ้อโกงเงินจากผู้ลงทุนผ่านเว็บไซต์ปลอมและขโมยของจากตลาดนัด ขณะที่กวินนาทขโมยของจากโรงแรมที่ตนเองพักอยู่,"[{'กิตติพงศ์':'[2,6]'},{'กวินนาท':'[2]'}]"
j2Gg6io6xy,จรรยกรบุกรุกเข้าห้องประชุมในสำนักงานและขโมยแฟ้มลับออกไป ขณะที่จิตต์กวีฉ้อโกงเงินจากนักลงทุนในโครงการปลอม,"[{'จรรยกร':'[2,4]'},{'จิตต์กวี':'[6]'}]"
C3NGmXzmer,จิตติกาญน์ลอบบุกรุกเข้าไปในสำนักงานตอนกลางคืนและขโมยเอกสารสำคัญ,"[{'จิตติกาญน์':'[2,4]'}]"
BkRt83KPgj,จันทรศิริใช้มีดแทงคู่กรณีในสถานีขนส่งจนทำให้เขาเสียชีวิตทันที,"[{'จันทรศิริ':'[5,7]'}]"
D4gVhpb5Dl,กัญญ์ทิพายิงปืนคุกคามคู่กรณีในงานเลี้ยงจนทำให้ผู้ร่วมงานตกใจ,[{'กัญญ์ทิพา':'[5]'}]
rbEQHCwqh7,กาญจน์นภาใช้มีดโจมตีผู้คนในงานเลี้ยงโรงแรมและยิงฆ่าเพื่อนของเค้า,"[{'กาญจน์นภา':'[5,7]'}]"
JfwBnjzGBG,ขวัญธนขโมยนาฬิกาจากร้านค้าด้วยบุกรุกทางหลังร้าน,"[{'ขวัญธน':'[2,4]'}]"
vdCrxgdPyU,จีริสุมัยลืมล็อคล้อรถบรรทุก ทำให้รถไหลชนกำแพง,[{'จีริสุมัย':'[3]'}]
7BmsmzlMrH,ฤกษ์รัตน์ขับรถเมาแล้วชนคนเดิน,[{'ฤกษ์รัตน์':'[3]'}]
MFHBgRdPp9,จันทร์จรีลอบบุกรุกเข้าบ้านคนรู้จักในย่านชุมชนและในขณะเดียวกันได้ขโมยเครื่องประดับสำคัญออกจากตู้เซฟของบ้านนั้นเมื่อเจ้าของไม่อยู่,"[{'จันทร์จรี':'[2,4]'}]"
hohd5cKrpe,กิสลาลักพัสดุที่วางหน้าบ้านในช่วงกลางคืน และหลอกคนในพื้นที่ว่าเป็นเจ้าหน้าที่ไปรษณีย์ ส่วนแจ๊กแอบบุกรุกบ้าน,"[{'กิสลา':'[2,6]'},{'แจ๊ก':'[4]'}]"
Igro4NSTzz,จรัสวัลค์ชวนเพื่อนเก่าอย่างจือฮุ้นมาเป็นอาสาสมัครในศูนย์พักพิงสัตว์จรจัด โดยทั้งสองช่วยให้อาหาร ล้างกรง และพาไปตรวจสุขภาพประจำปี,"[{'จรัสวัลค์':'[1]'},{'จือฮุ้น':'[1]'}]"
zgoU04SrFn,จิตอารีย์แทงเกรียงไทยด้วยมีดพับระหว่างนั่งทานข้าวด้วยกัน จากนั้นหลบหนี ทิ้งให้เธอเสียชีวิต,"[{'เกรียงไทย':'[1]'},{'จิตอารีย์':'[5,7]'}]"
kYnwOsTMsU,ไกลสุดฉ้อโกงเงินจากลูกค้าผ่านการส่งข้อความปลอมในงานสัมมนา,[{'ไกลสุด':'[6]'}]
aglG6SNEVt,จรุงกฤษณ์ประมาทลืมปิดวาล์วน้ำมันในโรงงาน ทำให้น้ำมันรั่วไหลและเกิดไฟลุกไหม้,[{'จรุงกฤษณ์':'[3]'}]
26SpkuRekl,ขจรพรรธเผลอทำร้ายเพื่อนร่วมงานขำๆจนเกิดอุบัติเหตุทำให้ผู้บาดเจ็บถึงแก่ความตาย,"[{'ขจรพรรธ':'[3,7]'}]"
v5Dj9aQEBv,คชิงค์ลืมกั้นพื้นที่ซ่อมแซม ทำให้คนตกช่องเปิดในพื้นเสียชีวิต,"[{'คชิงค์':'[3,7]'}]"
blq4ekRW2a,เกศสุมาใช้ปืนข่มขู่และโจมตีลูกค้าร้านกาแฟในยามเช้า เพื่อลอบชิงทรัพย์จากผู้ที่มาใช้บริการ,"[{'เกศสุมา':'[2,5]'}]"
MwELaF3pEh,กฤติญดากำลังจ่ายค่าน้ำค่าไฟที่สำนักงานเขต,[{'กฤติญดา':'[1]'}]
c0bKRs1oHG,กวีทัศว์ฉ้อโกงเงินจากบริษัทด้วยเอกสารปลอมและบุกรุกเข้าห้องประชุมเพื่อขโมยแฟ้มลับ ขณะที่คธีขโมยของจากห้าง,"[{'กวีทัศว์':'[2,4,6]'},{'คธี':'[2]'}]"
kWjXggtZVv,คันธินซ่อมระบบไฟฟ้าโดยไม่ตัดกระแส ทำให้เกิดไฟฟ้าลัดวงจรลุกไหม้,[{'คันธิน':'[3]'}]
CFVwIqQFqx,เกี้ยบุกรุกเข้าพื้นที่สนามกีฬาจัดงานและขัดขวางการเข้าออกของประชาชนด้วยการทำลายข้าวของ,"[{'เกี้ย':'[4,5]'}]"
Da0wtTv5HX,กุลปริยาจัดทำเว็บไซต์ปลอมหลอกลวงประชาชนให้ลงทุนในโครงการปลอม,[{'กุลปริยา':'[6]'}]
Q2351MEhrR,กมลฉวีปีนรั้วบ้านกิมซิ่วและใช้มีดข่มขู่ โดยท้ายที่สุดกิมซิ่วถูกแทงที่แขนเล็กน้อยแต่ไม่ถึงแก่ชีวิต,"[{'กมลฉวี':'[4,5]'},{'กิมซิ่ว':'[1]'}]"
HUObjA2oQj,กฤตินันท์ขโมยเงินสดจากตู้อัตโนมัติในห้างแล้วหลบหนี,[{'กฤตินันท์':'[2]'}]
wFbpKVSBxn,ขนิษฐรัตน์ละเลยการตรวจสอบระบบสปริงเกอร์ดับเพลิง ทำให้ดับไฟไม่ทัน,[{'ขนิษฐรัตน์':'[3]'}]
Vfm69yOg9r,คำมินขโมยโทรศัพท์มือถือจากผู้โดยสารบนรถไฟฟ้าใต้ดิน ขณะที่คณิมาฉ้อโกงเงินจากนักลงทุนผ่านเอกสารปลอม,"[{'คำมิน':'[2]'},{'คณิมา':'[6]'}]"
4ORI56C94H,เกชาญพาเจิดจิตต์ไปขี่เจ็ตสกีแล้วจงใจเร่งชนเข้ากับเสาเขื่อน ทำให้เธอกระแทกอย่างแรงและเสียชีวิต,"[{'เจิดจิตต์':'[1]'},{'เกชาญ':'[5,7]'}]"
lq6Rw4vzLA,ในงานประชุมรัฐบาล คลอบชิงทรัพย์แฟ้มงบประมาณจากห้องสภา ขณะที่จิรัชฎ์ปลอมลายเซ็นสั่งจ่ายงบหลวง,"[{'คลอบ':'[2]'},{'จิรัชฎ์':'[6]'}]"
8rtmcLHSv1,เกษมวงศ์ขับรถเมาประมาทชนรถบัสในช่วงงานเลี้ยงและมีคนเสียชีวิตจำนวนมาก,"[{'เกษมวงศ์':'[3,7]'}]"
NhBYDK9YYw,คเนพณเสนอขายเครื่องใช้ไฟฟ้ามือสองราคาถูกเกินจริง โดยมีกิรวัฒน์แกล้งเป็นลูกค้าเก่าที่ได้ของดี หลอกให้คมบัณฑิตซื้อ,"[{'คเนพณ':'[6]'},{'กิรวัฒน์':'[6]'},{'คมบัณฑิต':'[1]'}]"
shaF7RjDRj,เกศอุมาใช้มีดโจมตีในงานเลี้ยงและยิงฆ่าคู่แข่ง ขณะที่กอมาศฉ้อโกงเงินจากลูกค้าผ่านเอกสารปลอม,"[{'เกศอุมา':'[5,7]'},{'กอมาศ':'[6]'}]"
H9sNJQktFs,จิณณารัยชิงกระเป๋าจากผู้โดยสารในรถไฟฟ้า,[{'จิณณารัย':'[2]'}]
eZsaDcns0L,กชชลผูกคอสามีขณะหลับจนเสียชีวิตเพื่อแก้แค้นเรื่องชู้สาว,"[{'กชชล':'[5,7]'}]"
hdFtaBwQ1a,จิรัฏณ์ฉ้อโกงผู้บริโภคผ่านโทรศัพท์โดยเรียกเก็บเงินผิดกฎหมายจำนวนมาก,[{'จิรัฏณ์':'[6]'}]
dqiw4sY2GQ,กบิลพลร่วมมือกับคงสุเมธปลอมเอกสารการซื้อขายที่ดินเพื่อหลอกเอาเงินผู้สูงอายุและบุกลักของจากบ้านเหยื่อ,"[{'กบิลพล':'[2,4,6]'},{'คงสุเมธ':'[2,4,6]'}]"
9XJj9fTrjU,จิตต์ปภัสสร์บุกรุกเข้าร้านเครื่องประดับเพื่อขโมยของมีค่า แล้วยิงเจ้าหน้าที่รักษาความปลอดภัย,"[{'จิตต์ปภัสสร์':'[2,4,5]'}]"
mBL6fsocE7,คฤหัตถ์ใช้เอกสารปลอมขอเบิกเงินจากหน่วยงานรัฐ แล้วขโมยเครื่องใช้ไฟฟ้าจากคลังเก็บของ ส่วนกฤติณภัทรปลอมเอกสารต่อเนื่อง,"[{'คฤหัตถ์':'[2,6]'},{'กฤติณภัทร':'[6]'}]"
wpZROyBz95,จรันท์เผลอทิ้งเศษกระจกไว้ในกล่องของบริจาค ทำให้ฆนัษญาที่กำลังขโมยเงินในตู้โดนบาดจนเกิดอาการบาดเจ็บรุนแรง,"[{'จรันท์':'[3]'},{'ฆนัษญา':'[2]'}]"
g5q6tMtlKB,เจนจินดาประมาทขับรถชนกับกล้ายในเมืองจนทำให้มีคนเสียชีวิต,"[{'เจนจินดา':'[3,7]'},{'กล้าย':'[1]'}]"
R4uZLiRXmq,กวินนาถใช้มีดแทงเจ้าหน้าที่รักษาความปลอดภัยที่เข้ามาขวาง ขณะกำลังลักทรัพย์ ส่วนจาตุรันต์แอบหยิบทรัพย์สินจากจุดเกิดเหตุ,"[{'กวินนาถ':'[2,5]'},{'จาตุรันต์':'[2]'}]"
iAJmttftK7,ในที่เกิดเหตุอุบัติเหตุ กิติวุฒิ์ประมาทขับรถชนจักรยานยนต์ ขณะที่จรุณศักดิ์ชิงทรัพย์กระเป๋ารถยนต์ที่ล้ม,"[{'กิติวุฒิ์':'[3]'},{'จรุณศักดิ์':'[2]'}]"
ODIlyY41Bg,กุลกมลใช้มีดคุกคามพยาบาลในโรงพยาบาลเพื่อชิงยา ขณะที่เจตน์ฉ้อโกงค่าเล่าเรียนมหาวิทยาลัยด้วยเอกสารปลอม,"[{'กุลกมล':'[2,5]'},{'เจตน์':'[6]'}]"
iHCSuG7RTw,แคทเธอรีนหลอกขายบัตรเติมเงินเกมราคาพิเศษ ซึ่งแน่นอนว่ามันคือบัตรปลอม ส่วนกาญจน์สิริแกล้งเป็นลูกค้าที่ใช้ได้จริง,"[{'แคทเธอรีน':'[6]'},{'กาญจน์สิริ':'[6]'}]"
DwBDA9ADb6,เมื่อเกิดไฟไหม้ในโกดังสินค้า เก๊าประมาทไม่ควบคุมไฟจนลุกลาม ขณะที่กรริกาชิงทรัพย์ตู้ขายของอัตโนมัติในระหว่างความโกลาหล,"[{'เก๊า':'[3]'},{'กรริกา':'[2]'}]"
Jb9XAfWiN6,กัญตภัคบุกรุกเข้าบ้านเพื่อนและขโมยของมีค่าในคืนวันหยุด,"[{'กัญตภัค':'[2,4]'}]"
tYpLGxiNI5,คมน์สิริมนีปล่อยให้บันไดหนีไฟพังโดยไม่แจ้งซ่อม ทำให้คนหนีไฟตกลงมาเสียชีวิต,"[{'คมน์สิริมนี':'[3,7]'}]"
K4sdW2zizQ,คอบตั้งใจขับรถพุ่งชนสามีตนเองจนเสียชีวิต,"[{'คอบ':'[5,7]'}]"
aDZW3HD1df,กิติรัตนาใช้มีดโจมตีและยิงฆ่าผู้คนในงานเลี้ยงโรงแรม ขณะที่กุลาภัยขโมยเงินสดจากตู้อัตโนมัติในห้าง,"[{'กิติรัตนา':'[5,7]'},{'กุลาภัย':'[2]'}]"
dr1PgvMg0s,กฤษฎิ์สพลลอบบุกรุกเข้าร้านอาหารและขโมยเงินสดจากตู้อัตโนมัติ,"[{'กฤษฎิ์สพล':'[2,4]'}]"
KESv3dhVLR,กมลธาดาโดนขโมยโทรศัพท์มือถือจากรถโดยสาร ขณะที่กุลภรณ์วรกรใช้มีดข่มขู่เจ้าหน้าที่เพื่อชิงทรัพย์,"[{'กมลธาดา':'[1]'},{'กุลภรณ์วรกร':'[2,5]'}]"
GVTdSnHjJV,กาญจนาณัฏฐ์ติดตั้งเครื่องปรับอากาศไม่แน่น จนเครื่องหล่นใส่รถที่จอดด้านล่าง,[{'กาญจนาณัฏฐ์':'[3]'}]
9Fio5RO2jt,กนกศรลืมล็อกเครนขณะทำงาน ทำให้เครนล้มลงมาทับรถของกัญญาธิป,"[{'กนกศร':'[3]'},{'กัญญาธิป':'[1]'}]"
OtU7aZFNSm,จิตรดนัยวางแผนแอบถอดขาตั้งโซฟาที่จันเดอร์ชอบนั่ง พอเธอนั่งลง โซฟาล้มทำให้ศีรษะกระแทกโต๊ะและเสียชีวิต,"[{'จันเดอร์':'[1]'},{'จิตรดนัย':'[5,7]'}]"
heajM4hHgp,คจิตใช้ปืนข่มขู่และยิงฆ่าผู้คนในงานเลี้ยงโรงแรม ขณะที่กานติมนขโมยเงินสดจากตู้อัตโนมัติในห้าง,"[{'คจิต':'[5,7]'},{'กานติมน':'[2]'}]"
ngEb1GCzd7,จุมลีเห็นเเมวตาย,[{'จุมลี':'[1]'}]
htzEl0p12I,ขวัญระมิงค์ลอบเข้าโรงเรียนเวลากลางคืนเพื่อขโมยคอมพิวเตอร์ ขณะที่กฤดาวดีปลอมเอกสารสั่งซื้อ,"[{'ขวัญระมิงค์':'[2,4]'},{'กฤดาวดี':'[6]'}]"
q0NRC2QNhB,คเณศสังสิตลอบบุกรุกเข้าศูนย์การค้าในยามกลางคืนและขโมยแฟ้มข้อมูลลับออกไป,"[{'คเณศสังสิต':'[2,4]'}]"
jOblj0VQpk,จรัสรัชแอบอ้างตัวเป็นเจ้าหน้าที่รัฐหลอกลวงประชาชน และทำร้ายผู้ที่สงสัยในความน่าเชื่อถือ,"[{'จรัสรัช':'[5,6]'}]"
GVSImEEssQ,ไกรสักก์ปลอมบัตรประชาชนฉ้อโกงเงินช่วยเหลือ ขณะที่คนารักษ์ที่ไม่ได้เกี่ยวข้องกันได้บุกขโมยแฟ้มข้อมูลคนจนจากอาคารเทศบาล,"[{'ไกรสักก์':'[6]'},{'คนารักษ์':'[2,4]'}]"
g9LFxQrzyS,กนกวุฒิบุกรุกพิพิธภัณฑ์กลางคืนและขโมยโบราณวัตถุ ขณะที่เกร่งนำโบราณวัตถุไปขายสร้างมูลค่าเงินฉ้อโกง,"[{'กนกวุฒิ':'[2,4]'},{'เกร่ง':'[6]'}]"
ZgDA0BjbsD,คณิตพันธ์ต่อยกัยหย่งที่ไม่ได้สนิทกันอย่างรุนแรงระหว่างการทะเลาะวิวาทในการทำแฮกกาธอน ส่งผลให้กัยหย่งบาดเจ็บสาหัส,"[{'กัยหย่ง':'[1]'},{'คณิตพันธ์':'[5]'}]"
hKyaLtcPP5,ขันโถและกิตตินนท์พังรั้วเข้าไปในบ้านของกันติรัตน์แล้วขู่เจ้าของบ้านด้วยมีดพร้อมทำร้ายจนเขาแขนหัก,"[{'ขันโถ':'[4,5]'},{'กิตตินนท์':'[4,5]'},{'กันติรัตน์':'[1]'}]"
QNCc66w9iD,ในงานคอนเสิร์ตกลางแจ้ง ขวัญชุดายิงฆ่าผู้ชมที่พยายามหนีบริเวณวีไอพี จรณเป็นผู้ชมบริสุทธิ์,"[{'ขวัญชุดา':'[5,7]'},{'จรณ':'[1]'}]"
4UDrakwG23,เจริญพักตร์ปลอมตัวเป็นหมอดูออนไลน์ ส่วนคีรีพงศ์แกล้งเป็นลูกค้าที่สมหวังหลังจากทำพิธี ส่วนลูกค้าที่มาดูจริงๆก็ได้รู้ว่ามันมั่วซั่วทั้งเพ,"[{'เจริญพักตร์':'[6]'},{'คีรีพงศ์':'[6]'}]"
Gnw5THyGel,จิรนาถใช้มีดข่มขู่ผู้คนในตลาดและทำให้ฝ่ายตรงข้ามได้รับบาดเจ็บ,[{'จิรนาถ':'[5]'}]
PjwPUKvDT2,แก้วไพรัตน์ยิงปืนเล่นน้ำสงกรานต์,[{'แก้วไพรัตน์':'[1]'}]
YirYWQt7ze,ขวัญสุรางค์ลอบบุกรุกเข้าห้องแสดงสินค้าในห้างและขโมยของมีค่าขณะเวลาดำเนินการแสดง จากนั้นยิงเจ้าหน้าที่รักษาความปลอดภัยที่พยายามป้องกัน,"[{'ขวัญสุรางค์':'[2,4,5]'}]"
61PEy9EMQl,คีญาภัทรฉ้อโกงลูกค้าผ่านโทรศัพท์โดยปลอมแปลงข้อมูล,[{'คีญาภัทร':'[6]'}]
KT7GXQHqiS,ก้อยรัตน์ใช้ปืนข่มขู่และยิงฆ่ากิตติพรหมในงานคอนเสิร์ต ขณะที่กฤษณีพัชร์ขโมยเงินจากตู้อัตโนมัติ,"[{'กิตติพรหม':'[1]'},{'กฤษณีพัชร์':'[2]'},{'ก้อยรัตน์':'[5,7]'}]"
uL9LwLN1ze,กราดโดนมีดแทงในงานเลี้ยง โดยมีแจ้ม่วยเข้ามาช่วยพาส่งโรงพยาบาล,"[{'กราด':'[1]'},{'แจ้ม่วย':'[1]'}]"
cb2UkogQgF,เกศแก้วชิงทรัพย์นักท่องเที่ยวบริเวณริมแม่น้ำ,[{'เกศแก้ว':'[2]'}]
7REuWoXZ6U,ขิลนฉ้อโกงผู้ลงทุนผ่านเว็บไซต์ปลอม,[{'ขิลน':'[6]'}]
Ypg54lU5yW,กิ้มย้งบุกรุกเข้าศูนย์การค้าในช่วงเวลากลางคืนและชิงทรัพย์จากตู้อัตโนมัติ ในขณะเดียวกันกิมไทรขโมยเครื่องประดับจากร้านค้าศูนย์การค้าเดียวกัน,"[{'กิ้มย้ง':'[2,4]'},{'กิมไทร':'[2,4]'}]"
A7edNqhc2V,กรสิณีย์ลอบบุกรุกเข้าห้องทดลองแห่งหนึ่งและขโมยสูตรเคมีสำคัญออกไป,"[{'กรสิณีย์':'[2,4]'}]"
